"taxon","lfc_(Intercept)","lfc_DietVegan","se_(Intercept)","se_DietVegan","W_(Intercept)","W_DietVegan","p_(Intercept)","p_DietVegan","q_(Intercept)","q_DietVegan","diff_(Intercept)","diff_DietVegan","passed_ss_(Intercept)","passed_ss_DietVegan","diff_robust_(Intercept)","diff_robust_DietVegan"
"Phocaeicola vulgatus",0.38751303621713,-0.773369634032004,0.613599370341432,0.680303047421167,0.63154079835757,-1.1368016606182,0.561978819649798,0.319103033150039,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"Phocaeicola dorei",-0.327207775749846,0.656071989901945,0.509348483431965,0.604665357061367,-0.642404535191969,1.08501666622743,0.555579351360787,0.338933653651588,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"Phocaeicola coprophilus",1.75344596374827,-3.50523548909429,0.781051371558622,0.871816131805637,2.24498160761077,-4.02061324769768,0.0881338394359058,0.0158563621422674,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"Phocaeicola salanitronis",0.990420168819791,-1.97918389923733,0.796477401924574,1.44773351595021,1.24350065228038,-1.36709130335931,0.281584960280152,0.243386081188924,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"Bacteroides eggerthii",2.73177318275024,-5.46188992709823,1.14766938191394,1.24923884196945,2.38027887281835,-4.37217427412637,0.0759662196111181,0.0119477457087508,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"Bacteroides uniformis",0.492767946435657,-0.983879454469059,0.190291935879209,0.500408936046441,2.58953667247596,-1.9661508490283,0.0607135571683433,0.120700623033695,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"Bacteroides thetaiotaomicron",-0.0011182883561279,0.00389301511451077,0.598829998125439,0.818017698687247,-0.00186745547088249,0.00475908421145199,0.998599409414422,0.996430703683176,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"Bacteroides caccae",0.339369616774693,-0.677082795147133,0.60571430859468,0.762354211966656,0.56028000652992,-0.888147247721571,0.605182323272299,0.424642815225069,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"Bacteroides xylanisolvens",1.07384346201146,-2.14603048562066,0.675654055290736,1.01091400895491,1.58933917972176,-2.12286155559288,0.18718565213587,0.101016075232874,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"Bacteroides fragilis",0.494592214028645,-0.987527989655033,0.659354336338702,0.897684993506981,0.750115964619331,-1.10008298768264,0.494896842768904,0.333051504686919,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"Bacteroides humanifaecis",0.734667819791395,-1.46767920118054,0.888805552075803,1.36521238391381,0.82657879226292,-1.07505558730208,0.4549300375281,0.342873979730986,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"Bacteroides ovatus",0.02003772757891,-0.038419016755565,0.584200538277988,0.794317168705555,0.0342993993774363,-0.0483673503094159,0.974281753440333,0.963742156200083,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"Bacteroides sp. DH3716P",1.11547185411526,-2.22928726982827,1.1523387694996,1.50373416186329,0.968006877525829,-1.4825009143012,0.387857040348246,0.21234599617601,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"Bacteroides sp. HF-162",0.4854577320967,-0.969259025791144,0.570582654863598,0.837136772554101,0.850810531933805,-1.15782636430358,0.442808308774876,0.311359896437038,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"Bacteroides sp. A1C1",0.675752678005465,-1.34984891760868,0.327804688712928,0.796406400726931,2.06144909231988,-1.69492474743621,0.108274459421452,0.165335516543679,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"Bacteroides sp. CACC 737",0.856177693602709,-1.71069894880316,0.988176200184837,1.09655374078528,0.866422095009536,-1.5600684993132,0.435137366617722,0.193758872695147,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"Bacteroides sp. D2",-0.910579678387782,1.82281579517782,0.81661291875894,0.930523407638788,-1.11506891143928,1.95891449931736,0.327292820786605,0.121706039281411,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"Bacteroides stercoris",1.47118082999302,-2.94070522158379,1.47024206537271,1.86069107462503,1.00063851024428,-1.58043710838802,0.373626925365888,0.189160073344414,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"Bacteroides caecimuris",1.16378330920456,-2.32591018000686,0.735467552963906,1.53365354896664,1.58237206320599,-1.51658122629719,0.188729092083053,0.203965312141551,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"Bacteroides intestinalis",0.325121093708657,-0.648585749015059,1.25341042863992,2.52774557390231,0.259389172357092,-0.256586642149185,0.808137750772558,0.810154695636158,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
