name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads	sample
Phocaeicola vulgatus	821	S	469278	983610	1452888	0.10736	SRR8146935
Phocaeicola dorei	357276	S	162351	330212	492563	0.0364	SRR8146935
Phocaeicola coprophilus	387090	S	23752	23182	46934	0.00347	SRR8146935
Phocaeicola salanitronis	376805	S	1000	226	1226	9e-5	SRR8146935
Bacteroides eggerthii	28111	S	251129	305797	556926	0.04115	SRR8146935
Bacteroides uniformis	820	S	209657	594079	803736	0.05939	SRR8146935
Bacteroides thetaiotaomicron	818	S	94334	68443	162777	0.01203	SRR8146935
Bacteroides caccae	47678	S	36713	20683	57396	0.00424	SRR8146935
Bacteroides xylanisolvens	371601	S	21609	191207	212816	0.01573	SRR8146935
Bacteroides fragilis	817	S	12860	19995	32855	0.00243	SRR8146935
Bacteroides humanifaecis	2792859	S	4045	68306	72351	0.00535	SRR8146935
Bacteroides ovatus	28116	S	3868	21605	25473	0.00188	SRR8146935
Bacteroides sp. DH3716P	2847299	S	1228	26610	27838	0.00206	SRR8146935
Bacteroides sp. HF-162	2785531	S	654	13983	14637	0.00108	SRR8146935
Bacteroides sp. A1C1	2528203	S	551	7089	7640	5.6e-4	SRR8146935
Bacteroides sp. CACC 737	2755405	S	114	1144	1258	9e-5	SRR8146935
Bacteroides sp. D2	556259	S	24	59	83	1e-5	SRR8146935
Bacteroides stercoris	46506	S	2485	2185	4670	3.5e-4	SRR8146935
Bacteroides caecimuris	1796613	S	1378	1396	2774	2e-4	SRR8146935
Bacteroides intestinalis	329854	S	760	150	910	7e-5	SRR8146935
Bacteroides salyersiae	291644	S	691	304	995	7e-5	SRR8146935
Bacteroides faecis	674529	S	686	728	1414	1e-4	SRR8146935
Bacteroides helcogenes	290053	S	534	33	567	4e-5	SRR8146935
Bacteroides zhangwenhongii	2650157	S	271	244	515	4e-5	SRR8146935
Bacteroides cellulosilyticus	246787	S	194	264	458	3e-5	SRR8146935
Bacteroides faecium	2715212	S	88	6	94	1e-5	SRR8146935
Bacteroides zoogleoformans	28119	S	78	42	120	1e-5	SRR8146935
Bacteroides nordii	291645	S	64	18	82	1e-5	SRR8146935
Bacteroides luhongzhouii	2650158	S	59	27	86	1e-5	SRR8146935
Alistipes onderdonkii	328813	S	1018071	554415	1572486	0.1162	SRR8146935
Alistipes communis	2585118	S	219414	79533	298947	0.02209	SRR8146935
Alistipes finegoldii	214856	S	162948	221158	384106	0.02838	SRR8146935
Alistipes ihumii	1470347	S	76897	2384	79281	0.00586	SRR8146935
Alistipes dispar	2585119	S	74270	25434	99704	0.00737	SRR8146935
Alistipes senegalensis	1288121	S	38181	7214	45395	0.00335	SRR8146935
Alistipes shahii	328814	S	13919	10007	23926	0.00177	SRR8146935
Alistipes megaguti	2364787	S	10504	3000	13504	0.001	SRR8146935
Alistipes indistinctus	626932	S	5287	825	6112	4.5e-4	SRR8146935
Alistipes sp. dk3624	2662363	S	32	6	38	0	SRR8146935
Parabacteroides johnsonii	387661	S	75757	37079	112836	0.00834	SRR8146935
Parabacteroides distasonis	823	S	45172	180079	225251	0.01664	SRR8146935
Parabacteroides merdae	46503	S	2124	1984	4108	3e-4	SRR8146935
Parabacteroides goldsteinii	328812	S	551	231	782	6e-5	SRR8146935
Odoribacter splanchnicus	28118	S	26588	8173	34761	0.00257	SRR8146935
Butyricimonas virosa	544645	S	18448	4179	22627	0.00167	SRR8146935
Butyricimonas faecalis	2093856	S	1137	1728	2865	2.1e-4	SRR8146935
Prevotella copri	165179	S	3485	5262	8747	6.5e-4	SRR8146935
Prevotella corporis	28128	S	96	1829	1925	1.4e-4	SRR8146935
Prevotella sp. Rep29	2691580	S	62	114	176	1e-5	SRR8146935
Prevotella intermedia	28131	S	88	2082	2170	1.6e-4	SRR8146935
Prevotella histicola	470565	S	26	330	356	3e-5	SRR8146935
Paraprevotella xylaniphila	454155	S	312	372	684	5e-5	SRR8146935
Sodaliphilus pleomorphus	2606626	S	2216	327	2543	1.9e-4	SRR8146935
